state_id,policy_level,date,policy_type,start_stop,state,population
AL,state,2020-09-30,Non-Essential Businesses,start,Alabama,4888949
AL,state,2020-07-16,Mask Wearing,start,Alabama,4888949
AL,state,2020-04-04,Shelter in Place,start,Alabama,4888949
AL,state,2020-05-11,Outdoor and Recreation,start,Alabama,4888949
AL,state,2020-07-16,Mask Wearing,start,Alabama,4888949
AL,state,2020-05-11,Food and Drink,start,Alabama,4888949
AL,state,2020-05-11,Mask Wearing,start,Alabama,4888949
DC,state,2020-04-17,Mask Wearing,start,District of Columbia,703608
DC,state,2020-04-15,Mask Wearing,start,District of Columbia,703608
DC,state,2020-06-22,Mask Wearing,start,District of Columbia,703608
DC,state,2020-06-22,Food and Drink,start,District of Columbia,703608
DC,state,2020-06-22,Non-Essential Businesses,start,District of Columbia,703608
DC,state,2020-04-01,Shelter in Place,start,District of Columbia,703608
DC,state,2020-06-22,Outdoor and Recreation,start,District of Columbia,703608
MO,state,2020-05-04,Outdoor and Recreation,start,Missouri,6135888
MO,state,2020-05-04,Non-Essential Businesses,start,Missouri,6135888
MO,state,2020-04-06,Shelter in Place,start,Missouri,6135888
MO,state,2020-06-01,Food and Drink,start,Missouri,6135888
IN,state,2020-03-23,Non-Essential Businesses,start,Indiana,6699629
IN,state,2020-07-27,Mask Wearing,start,Indiana,6699629
IN,state,2020-03-24,Shelter in Place,start,Indiana,6699629
IN,state,2020-03-23,Outdoor and Recreation,start,Indiana,6699629
IN,state,2020-07-27,Mask Wearing,start,Indiana,6699629
IN,state,2020-03-23,Food and Drink,start,Indiana,6699629
IN,state,2020-05-01,Mask Wearing,start,Indiana,6699629
NJ,state,2020-04-08,Mask Wearing,start,New Jersey,9032872
NJ,state,2020-06-15,Non-Essential Businesses,start,New Jersey,9032872
NJ,state,2020-03-21,Shelter in Place,start,New Jersey,9032872
NJ,state,2020-07-08,Mask Wearing,start,New Jersey,9032872
NJ,state,2020-06-15,Outdoor and Recreation,start,New Jersey,9032872
NJ,state,2020-04-08,Mask Wearing,start,New Jersey,9032872
NJ,state,2020-06-15,Food and Drink,start,New Jersey,9032872
VA,state,2020-03-30,Shelter in Place,start,Virginia,8525660
VA,state,2020-05-29,Mask Wearing,start,Virginia,8525660
VA,state,2020-05-29,Mask Wearing,start,Virginia,8525660
VA,state,2020-05-19,Outdoor and Recreation,start,Virginia,8525660
VA,state,2020-06-05,Food and Drink,start,Virginia,8525660
VA,state,2020-06-05,Non-Essential Businesses,start,Virginia,8525660
VA,state,2020-06-05,Food and Drink,start,Virginia,8525660
WV,state,2020-05-26,Outdoor and Recreation,start,West Virginia,1803077
WV,state,2020-03-24,Shelter in Place,start,West Virginia,1803077
WV,state,2020-07-07,Mask Wearing,start,West Virginia,1803077
WV,state,2020-05-04,Mask Wearing,start,West Virginia,1803077
WV,state,2020-03-18,Food and Drink,start,West Virginia,1803077
WV,state,2020-03-24,Non-Essential Businesses,start,West Virginia,1803077
WV,state,2020-07-07,Mask Wearing,start,West Virginia,1803077
LA,state,2020-03-22,Shelter in Place,start,Louisiana,4682509
LA,state,2020-05-01,Mask Wearing,start,Louisiana,4682509
LA,state,2020-03-22,Outdoor and Recreation,start,Louisiana,4682509
LA,state,2020-03-22,Food and Drink,start,Louisiana,4682509
LA,state,2020-05-15,Non-Essential Businesses,start,Louisiana,4682509
LA,state,2020-07-13,Mask Wearing,start,Louisiana,4682509
AR,state,2020-05-11,Mask Wearing,start,Arkansas,3020327
AR,state,2020-05-18,Outdoor and Recreation,start,Arkansas,3020327
AR,state,2020-07-20,Mask Wearing,start,Arkansas,3020327
AR,state,2020-05-11,Food and Drink,start,Arkansas,3020327
AR,state,2020-07-20,Mask Wearing,start,Arkansas,3020327
AR,state,2020-05-04,Non-Essential Businesses,start,Arkansas,3020327
ID,state,2020-06-13,Mask Wearing,start,Idaho,1753860
ID,state,2020-05-01,Non-Essential Businesses,start,Idaho,1753860
ID,state,2020-03-25,Shelter in Place,start,Idaho,1753860
ID,state,2020-05-01,Food and Drink,start,Idaho,1753860
ID,state,2020-05-01,Outdoor and Recreation,start,Idaho,1753860
MI,state,2020-05-14,Food and Drink,start,Michigan,9991177
MI,state,2020-05-14,Non-Essential Businesses,start,Michigan,9991177
MI,state,2020-03-24,Shelter in Place,start,Michigan,9991177
MI,state,2020-04-27,Mask Wearing,start,Michigan,9991177
MI,state,2020-07-10,Mask Wearing,start,Michigan,9991177
MI,state,2020-04-26,Mask Wearing,start,Michigan,9991177
MI,state,2020-05-14,Outdoor and Recreation,start,Michigan,9991177
MA,state,2020-05-06,Mask Wearing,start,Massachusetts,6895917
MA,state,2020-06-01,Food and Drink,start,Massachusetts,6895917
MA,state,2020-05-06,Mask Wearing,start,Massachusetts,6895917
MA,state,2020-05-25,Outdoor and Recreation,start,Massachusetts,6895917
MA,state,2020-05-06,Mask Wearing,start,Massachusetts,6895917
MA,state,2020-05-25,Non-Essential Businesses,start,Massachusetts,6895917
